Chord; Position; Fingering; Max Fingers Required; Number of Barres; Fret Range; Highest Ring Finger; Highest Pinky Finger
Bbm13; ['6', 'x', '6', '6', '8', '8']; ['2', '0', '3', '3', '4', '4']; 2; 2; 2; 4; 2
Bbm13; ['6', 'x', '6', '6', '8', '8']; ['1', '0', '2', '3', '4', '4']; 3; 1; 2; 3; 2
Bbm13; ['x', '1', '3', '1', '2', '3']; ['0', '1', '3', '1', '2', '4']; 2; 1; 2; 4; 1
Bbm13; ['x', '13', '11', '13', '13', '15']; ['0', '2', '1', '3', '3', '4']; 2; 1; 4; 3; 1
BbmMaj9; ['x', '13', '11', '14', '13', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 3; 2; 3
BbmMaj9; ['6', '8', '7', '6', '6', '8']; ['1', '3', '2', '1', '1', '4']; 2; 1; 2; 5; 1
BbMaj9; ['x', '13', '12', '14', '13', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 2; 2; 3
BbMaj9; ['x', 'x', '8', '7', '10', '8']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
BbMaj9; ['x', '13', '10', '10', '10', '10']; ['0', '3', '1', '1', '1', '1']; 1; 1; 3; 5; 0
BbMaj9; ['6', '5', '7', '5', '6', '5']; ['2', '1', '4', '1', '3', '1']; 2; 1; 2; 2; 4
BbMaj9; ['6', 'x', '7', '5', '6', 'x']; ['2', '0', '4', '1', '3', '0']; 2; 0; 2; 2; 4
BbMaj13; ['x', '1', 'x', '2', '3', '3']; ['0', '1', '0', '2', '4', '4']; 1; 1; 2; 0; 2
BbMaj13; ['x', '1', 'x', '2', '3', '3']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
BbMaj13; ['6', '5', '5', '5', '6', '5']; ['2', '1', '1', '1', '3', '1']; 2; 1; 1; 2; 0
BbMaj13; ['6', 'x', '7', '7', '8', '8']; ['1', '0', '2', '3', '4', '4']; 2; 1; 2; 3; 2
Bb+9; ['x', '13', '12', '13', '13', '14']; ['0', '2', '1', '3', '3', '4']; 2; 1; 2; 3; 1
Bb+9; ['6', 'x', '6', '7', '7', '8']; ['1', '0', '2', '3', '3', '4']; 2; 1; 2; 3; 1
BbMaj7#11; ['x', '1', '2', '2', '3', '1']; ['0', '1', '2', '3', '4', '1']; 2; 1; 2; 3; 2
BbMaj7#11; ['6', 'x', '7', '7', '5', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
BbMaj7#11; ['x', 'x', '8', '9', '10', '10']; ['0', '0', '1', '2', '3', '3']; 1; 1; 2; 2; 0
BbMaj7#11; ['x', 'x', '8', '9', '10', '10']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
Bb9b5; ['x', '13', '12', '13', '13', '12']; ['0', '2', '1', '3', '4', '1']; 3; 1; 1; 3; 2
Bb9b5; ['6', '5', '6', '5', '5', 'x']; ['2', '1', '3', '1', '1', '0']; 2; 1; 1; 4; 0
Bb7b9; ['x', '13', '12', '13', '12', 'x']; ['0', '2', '1', '3', '1', '0']; 2; 1; 1; 3; 0
Bb7b9; ['x', '13', '12', '13', '12', 'x']; ['0', '3', '1', '4', '2', '0']; 2; 0; 1; 5; 3
Bb7b9; ['6', '8', '6', '7', '6', '7']; ['1', '4', '1', '2', '1', '3']; 2; 1; 2; 1; 5
Bb7b9; ['x', '13', '12', '13', '12', '13']; ['0', '2', '1', '3', '1', '4']; 3; 1; 1; 3; 1
Bb7b9; ['x', 'x', '8', '7', '9', '7']; ['0', '0', '2', '1', '3', '1']; 1; 1; 2; 2; 0
Bb7#9; ['x', '13', '12', '13', '14', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 2; 3; 2
Bb7#9; ['6', '8', '6', '7', '6', '9']; ['1', '3', '1', '2', '1', '4']; 1; 1; 3; 5; 1
Bb7#9; ['x', 'x', '8', '7', '9', '9']; ['0', '0', '2', '1', '3', '4']; 2; 0; 2; 2; 1
Bb7b5#9; ['x', '13', '12', '13', '14', '12']; ['0', '2', '1', '3', '4', '1']; 2; 1; 2; 3; 2
Bb7#11; ['6', '7', '6', '7', '6', '6']; ['1', '2', '1', '3', '1', '1']; 2; 1; 1; 3; 0
Bb7b5; ['x', '1', '2', '1', '3', 'x']; ['0', '1', '2', '1', '4', '0']; 1; 1; 2; 0; 2
Bb7b5; ['6', 'x', '6', '7', '5', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
Bb7b5; ['x', 'x', '8', '9', '9', '10']; ['0', '0', '1', '2', '2', '3']; 1; 1; 2; 1; 0
Bb7b5; ['x', 'x', '8', '9', '9', '10']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
Bb7b5; ['x', '1', '2', '1', '3', '4']; ['0', '1', '2', '1', '3', '4']; 1; 1; 3; 2; 1
Bbm9b5; ['6', '7', '6', '6', '9', '8']; ['1', '2', '1', '1', '4', '3']; 1; 1; 3; 1; 2
Bb+7b9; ['x', '13', '12', '13', '12', '14']; ['0', '2', '1', '3', '1', '4']; 2; 1; 2; 3; 1
Bb+7b9; ['6', 'x', '6', '7', '7', '7']; ['1', '0', '2', '3', '3', '3']; 2; 1; 1; 3; 0
Bb+7#9; ['x', '13', '12', '13', '14', '14']; ['0', '2', '1', '3', '4', '4']; 2; 1; 2; 3; 2
Bb+7#9; ['6', 'x', '6', '7', '7', '9']; ['1', '0', '2', '3', '3', '4']; 2; 1; 3; 3; 1
Cb; ['x', '2', '4', '4', '4', '2']; ['0', '1', '3', '3', '3', '1']; 1; 2; 2; 4; 0
Cb; ['x', '2', '4', '4', '4', '2']; ['0', '1', '2', '3', '4', '1']; 3; 1; 2; 3; 2
Cb; ['7', '9', '9', '8', '7', '7']; ['1', '3', '4', '2', '1', '1']; 2; 1; 2; 5; 4
Cb; ['7', '6', '4', '4', '4', '7']; ['3', '2', '1', '1', '1', '4']; 2; 1; 3; 6; 1
Cb; ['x', 'x', '9', '11', '12', '11']; ['0', '0', '1', '2', '4', '3']; 2; 0; 3; 1; 2
Cbm; ['x', '2', '4', '4', '3', '2']; ['0', '1', '3', '4', '2', '1']; 2; 1; 2; 4; 3
Cbm; ['7', '9', '9', '7', '7', '7']; ['1', '3', '4', '1', '1', '1']; 2; 1; 2; 5; 4
Cbm; ['x', 'x', '9', '7', '7', '7']; ['0', '0', '3', '1', '1', '1']; 1; 1; 2; 4; 0
Cbm; ['x', 'x', '9', '11', '12', '10']; ['0', '0', '1', '3', '4', '2']; 1; 0; 3; 3; 2
Cb5; ['7', '9', '9', 'x', 'x', 'x']; ['1', '3', '4', '0', '0', '0']; 2; 0; 2; 5; 4
Cb5; ['x', '2', '4', '4', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 2; 0; 2; 4; 3
Cb5; ['x', '2', '4', '4', 'x', 'x']; ['0', '1', '2', '3', '0', '0']; 2; 0; 2; 3; 0
Cb5; ['x', '2', '4', '4', 'x', 'x']; ['0', '1', '4', '4', '0', '0']; 1; 1; 2; 0; 4
Cb5; ['x', '2', '4', '4', 'x', 'x']; ['0', '1', '3', '3', '0', '0']; 1; 1; 2; 4; 0
Cb5; ['x', 'x', 'x', '4', '7', '7']; ['0', '0', '0', '1', '4', '4']; 1; 1; 3; 0; 2
Cb5; ['x', 'x', '9', '11', '12', 'x']; ['0', '0', '1', '3', '4', '0']; 1; 0; 3; 3; 2
Cbsus2; ['x', '2', '4', '4', '2', '2']; ['0', '1', '3', '4', '1', '1']; 2; 1; 2; 4; 3
Cbsus2; ['x', '2', '4', '6', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 1; 0; 4; 4; 3
Cbsus2; ['x', 'x', '9', '6', '7', '9']; ['0', '0', '3', '1', '2', '4']; 2; 0; 3; 4; 1
Cbsus2; ['x', 'x', '9', '11', '12', '9']; ['0', '0', '1', '3', '4', '1']; 1; 1; 3; 3; 2
Cbsus4; ['x', '2', '4', '4', '5', '2']; ['0', '1', '2', '3', '4', '1']; 2; 1; 3; 3; 2
Cbsus4; ['7', '9', '9', '9', '7', '7']; ['1', '2', '3', '4', '1', '1']; 3; 1; 2; 4; 3
Cbsus4; ['x', 'x', '9', '11', '12', '12']; ['0', '0', '1', '3', '4', '4']; 1; 1; 3; 3; 2
Cbsus4; ['x', 'x', '9', '9', '7', '7']; ['0', '0', '3', '4', '1', '1']; 2; 1; 2; 4; 3
Cb+; ['x', '14', '13', '12', '12', 'x']; ['0', '4', '3', '1', '2', '0']; 2; 0; 2; 4; 5
Cb+; ['x', 'x', '9', '8', '8', '7']; ['0', '0', '4', '2', '3', '1']; 2; 0; 2; 2; 4
Cb+; ['7', '6', '5', '4', 'x', 'x']; ['4', '3', '2', '1', '0', '0']; 1; 0; 3; 5; 6
Cb+; ['7', '10', '9', '8', 'x', 'x']; ['1', '4', '3', '2', '0', '0']; 1; 0; 3; 4; 5
Cb+; ['x', '2', 'x', '4', '4', '3']; ['0', '1', '0', '3', '4', '2']; 2; 0; 2; 3; 2
Cb°; ['x', '2', '3', '4', '3', 'x']; ['0', '1', '2', '4', '3', '0']; 2; 0; 2; 2; 3
Cb°; ['7', 'x', '9', '7', '6', 'x']; ['2', '0', '4', '3', '1', '0']; 2; 0; 3; 3; 4
Cb°; ['7', '8', '9', '7', 'x', 'x']; ['1', '3', '4', '2', '0', '0']; 2; 0; 2; 5; 4
Cb7; ['x', '2', '4', '2', '4', '2']; ['0', '1', '3', '1', '4', '1']; 2; 1; 2; 4; 2
Cb7; ['7', '9', '7', '8', '7', '7']; ['1', '3', '1', '2', '1', '1']; 1; 1; 2; 5; 0
Cb7; ['x', 'x', '9', '11', '10', '11']; ['0', '0', '1', '3', '2', '4']; 2; 0; 2; 3; 1
Cb7; ['x', '14', '13', '14', '12', 'x']; ['0', '3', '2', '4', '1', '0']; 2; 0; 2; 5; 3
Cb7; ['7', 'x', '7', '8', '7', 'x']; ['1', '0', '2', '4', '3', '0']; 3; 0; 1; 2; 3
Cb7sus4; ['x', '14', '14', '14', '12', '12']; ['0', '2', '3', '4', '1', '1']; 3; 1; 2; 4; 3
Cb7sus4; ['x', '2', '4', '2', '5', '2']; ['0', '1', '3', '1', '4', '1']; 1; 1; 3; 4; 2
Cb7sus4; ['7', '9', '7', '9', '7', '7']; ['1', '2', '1', '3', '1', '1']; 2; 1; 2; 3; 0
Cb7sus4; ['7', '9', '7', '9', '7', '7']; ['1', '3', '1', '4', '1', '1']; 2; 1; 2; 5; 3
Cb7sus4; ['x', 'x', '9', '11', '10', '12']; ['0', '0', '1', '3', '2', '4']; 1; 0; 3; 3; 1
Cbm7; ['x', '2', '4', '2', '3', '2']; ['0', '1', '3', '1', '2', '1']; 1; 1; 2; 4; 0
Cbm7; ['x', '2', '4', '2', '3', '2']; ['0', '1', '4', '1', '2', '1']; 1; 1; 2; 0; 4
Cbm7; ['7', '9', '9', '7', '10', '7']; ['1', '2', '3', '1', '4', '1']; 2; 1; 3; 4; 2
Cbm7; ['7', 'x', '7', '7', '7', 'x']; ['1', '0', '2', '3', '4', '0']; 4; 0; 0; 3; 2
Cbm7; ['7', 'x', '7', '7', '7', 'x']; ['1', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Cbm7; ['7', 'x', '7', '7', '7', 'x']; ['2', '0', '3', '3', '3', '0']; 2; 1; 0; 4; 0
Cbm7; ['x', '14', '12', '14', '15', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 3; 3; 2
Cbm7; ['7', '9', '7', '7', '7', '7']; ['1', '3', '1', '1', '1', '1']; 1; 1; 2; 5; 0
Cbm7; ['x', '14', '12', '14', '12', 'x']; ['0', '3', '1', '4', '1', '0']; 2; 1; 2; 5; 3
Cbm7; ['x', 'x', '9', '11', '10', '10']; ['0', '0', '1', '4', '2', '3']; 2; 0; 2; 1; 3
CbMaj7; ['x', 'x', '9', '8', '7', '6']; ['0', '0', '4', '3', '2', '1']; 1; 0; 3; 3; 4
CbMaj7; ['x', '2', '4', '3', '4', '2']; ['0', '1', '3', '2', '4', '1']; 2; 1; 2; 4; 2
CbMaj7; ['7', 'x', '8', '8', '7', 'x']; ['1', '0', '3', '4', '2', '0']; 2; 0; 1; 4; 3
CbMaj7; ['x', 'x', '9', '11', '11', '11']; ['0', '0', '1', '3', '3', '3']; 1; 1; 2; 3; 0
CbMaj7; ['7', '9', '8', '8', '7', '7']; ['1', '4', '2', '3', '1', '1']; 2; 1; 2; 3; 5
Cbm7b5; ['7', 'x', '7', '7', '6', 'x']; ['2', '0', '3', '4', '1', '0']; 3; 0; 1; 4; 3
Cbm7b5; ['x', '2', '3', '2', '3', 'x']; ['0', '1', '3', '2', '4', '0']; 2; 0; 1; 4; 2
Cbm7b5; ['x', 'x', '9', '10', '10', '10']; ['0', '0', '1', '2', '3', '4']; 3; 0; 1; 2; 1
Cbm7b5; ['7', '8', '9', '10', '10', '10']; ['1', '2', '3', '4', '4', '4']; 1; 1; 3; 4; 3
Cbm7b5; ['x', '2', 'x', '2', '3', '1']; ['0', '2', '0', '3', '4', '1']; 2; 0; 2; 3; 2
Cbm7b5; ['7', '8', '7', '7', '10', '7']; ['1', '2', '1', '1', '4', '1']; 1; 1; 3; 0; 2
Cb°7; ['x', '2', '3', '1', '3', 'x']; ['0', '2', '3', '1', '4', '0']; 2; 0; 2; 4; 2
Cb°7; ['7', 'x', '6', '7', '6', 'x']; ['3', '0', '1', '4', '2', '0']; 2; 0; 1; 6; 3
Cb°7; ['x', 'x', '9', '10', '9', '10']; ['0', '0', '1', '3', '2', '4']; 2; 0; 1; 3; 1
Cb°7; ['x', 'x', '9', '10', '9', '10']; ['0', '0', '1', '2', '1', '3']; 2; 1; 1; 1; 0
Cb+7; ['x', '2', '5', '2', '4', '3']; ['0', '1', '4', '1', '3', '2']; 1; 1; 3; 2; 4
Cb+7; ['7', 'x', '7', '8', '8', 'x']; ['1', '0', '2', '3', '4', '0']; 2; 0; 1; 3; 2
Cb+7; ['x', 'x', '9', '12', '10', '11']; ['0', '0', '1', '4', '2', '3']; 1; 0; 3; 1; 3
Cb+7; ['x', '2', 'x', '2', '4', '3']; ['0', '1', '0', '2', '4', '3']; 2; 0; 2; 1; 2
CbmMaj7; ['x', '2', '4', '3', '3', '2']; ['0', '1', '4', '2', '3', '1']; 2; 1; 2; 2; 4
CbmMaj7; ['7', 'x', '8', '7', '7', 'x']; ['1', '0', '4', '2', '3', '0']; 3; 0; 1; 2; 4
CbmMaj7; ['7', '9', '8', '7', '7', '7']; ['1', '3', '2', '1', '1', '1']; 1; 1; 2; 5; 0
CbmMaj7; ['x', 'x', '9', '11', '11', '10']; ['0', '0', '1', '3', '4', '2']; 2; 0; 2; 3; 2
CbmMaj7; ['x', 'x', '9', '7', '7', '6']; ['0', '0', '4', '2', '3', '1']; 2; 0; 3; 2; 4
Cbadd9; ['x', 'x', '9', '8', '7', '9']; ['0', '0', '3', '2', '1', '4']; 2; 0; 2; 4; 1
Cbadd9; ['x', '2', '4', '6', '4', '2']; ['0', '1', '2', '4', '3', '1']; 2; 1; 4; 2; 3
Cbadd9; ['7', 'x', 'x', '8', '7', '9']; ['1', '0', '0', '3', '2', '4']; 2; 0; 2; 3; 1
Cbmadd9; ['x', 'x', '9', '7', '7', '9']; ['0', '0', '3', '1', '1', '4']; 2; 1; 2; 4; 1
Cb6; ['x', '2', '4', '4', '4', '4']; ['0', '1', '2', '3', '4', '4']; 3; 1; 2; 3; 2
Cb6; ['x', 'x', '9', '11', '9', '11']; ['0', '0', '1', '3', '1', '4']; 2; 1; 2; 3; 1
Cb6; ['x', 'x', '9', '11', '9', '11']; ['0', '0', '1', '2', '1', '3']; 2; 1; 2; 1; 0
Cb6; ['7', 'x', '6', '8', '7', 'x']; ['2', '0', '1', '4', '3', '0']; 2; 0; 2; 2; 3
Cbm6; ['x', '14', '12', '13', '12', 'x']; ['0', '4', '1', '3', '2', '0']; 2; 0; 2; 3; 5
Cbm6; ['7', '9', '9', '7', '9', '7']; ['1', '2', '3', '1', '4', '1']; 3; 1; 2; 4; 2
Cbm6; ['x', 'x', '9', '11', '9', '10']; ['0', '0', '1', '3', '1', '2']; 1; 1; 2; 3; 0
Cbm6; ['x', 'x', '9', '11', '9', '10']; ['0', '0', '1', '4', '1', '2']; 1; 1; 2; 0; 3
Cbm6; ['x', '2', '4', '1', '3', 'x']; ['0', '2', '4', '1', '3', '0']; 1; 0; 3; 2; 4
Cbm6; ['x', '14', '12', '13', '12', '14']; ['0', '3', '1', '2', '1', '4']; 2; 1; 2; 5; 1
Cbm6; ['7', 'x', '6', '7', '7', 'x']; ['2', '0', '1', '3', '4', '0']; 3; 0; 1; 3; 2
Cbm6; ['x', '2', 'x', '1', '3', '2']; ['0', '2', '0', '1', '4', '3']; 2; 0; 2; 1; 2
Cbmb6; ['x', '14', '12', '12', '12', '14']; ['0', '3', '1', '1', '1', '4']; 2; 1; 2; 5; 1
Cbmb6; ['7', 'x', '5', '7', '7', 'x']; ['2', '0', '1', '3', '4', '0']; 3; 0; 2; 3; 2
Cb9; ['7', '9', '7', '8', '7', '9']; ['1', '3', '1', '2', '1', '4']; 2; 1; 2; 5; 1
Cb9; ['x', '2', '1', '2', '2', '2']; ['0', '2', '1', '3', '3', '3']; 2; 1; 1; 3; 0
Cb9; ['7', 'x', '7', '6', '4', 'x']; ['3', '0', '4', '2', '1', '0']; 2; 0; 3; 6; 4
Cb9; ['x', 'x', '9', '8', '10', '9']; ['0', '0', '2', '1', '4', '3']; 2; 0; 2; 1; 2
Cb9; ['7', '6', '7', '6', '7', 'x']; ['2', '1', '3', '1', '4', '0']; 3; 1; 1; 4; 2
Cb11; ['x', '14', '13', '14', '12', '12']; ['0', '3', '2', '4', '1', '1']; 2; 1; 2; 5; 3
Cb11; ['x', '2', '2', '2', '4', '2']; ['0', '1', '1', '1', '3', '1']; 1; 1; 2; 2; 0
Cb11; ['x', 'x', '9', '9', '10', '11']; ['0', '0', '1', '1', '2', '3']; 1; 1; 2; 1; 0
Cb13; ['x', '2', '1', '2', '2', '4']; ['0', '2', '1', '3', '3', '4']; 2; 1; 3; 3; 1
Cb13; ['7', 'x', '7', '6', '4', '4']; ['3', '0', '4', '2', '1', '1']; 2; 1; 3; 6; 4
Cb13; ['7', 'x', '7', '8', '9', '9']; ['1', '0', '1', '1', '2', '3']; 2; 1; 2; 1; 0
Cb13; ['7', '9', '7', '8', '9', '7']; ['1', '3', '1', '2', '4', '1']; 2; 1; 2; 5; 2
Cb9sus4; ['x', '2', '2', '2', '2', '2']; ['0', '1', '1', '1', '1', '1']; 1; 1; 0; 0; 0
Cb9sus4; ['7', 'x', '7', '6', '5', 'x']; ['3', '0', '4', '2', '1', '0']; 2; 0; 2; 6; 4
Cb9sus4; ['7', 'x', '7', '6', '5', '5']; ['3', '0', '4', '2', '1', '1']; 2; 1; 2; 6; 4
Cb13sus4; ['x', '2', '2', '2', '2', '4']; ['0', '1', '1', '1', '1', '3']; 1; 1; 2; 1; 0
Cb13sus4; ['7', 'x', '7', '9', '9', '9']; ['1', '0', '2', '4', '4', '4']; 2; 1; 2; 0; 3
Cbm9; ['7', '9', '7', '7', '7', '9']; ['1', '2', '1', '1', '1', '3']; 2; 1; 2; 1; 0
Cbm9; ['7', '9', '7', '7', '7', '9']; ['1', '3', '1', '1', '1', '4']; 2; 1; 2; 5; 1
Cbm9; ['x', '14', '12', '14', '14', 'x']; ['0', '2', '1', '3', '4', '0']; 3; 0; 2; 3; 2
Cbm9; ['x', '14', '12', '14', '14', 'x']; ['0', '2', '1', '3', '3', '0']; 2; 1; 2; 3; 0
Cbm9; ['x', '14', '12', '14', '14', '14']; ['0', '2', '1', '3', '3', '3']; 2; 1; 2; 3; 0
Cbm9; ['x', 'x', '9', '7', '10', '9']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
Cbm9; ['7', 'x', '7', '7', '7', '9']; ['2', '0', '3', '3', '3', '4']; 2; 1; 2; 4; 1
Cbm11; ['x', '14', '12', '14', '12', '12']; ['0', '3', '1', '4', '1', '1']; 2; 1; 2; 5; 3
Cbm11; ['x', '2', '2', '2', '3', '2']; ['0', '1', '1', '1', '2', '1']; 1; 1; 1; 0; 0
Cbm11; ['7', 'x', '7', '7', '5', 'x']; ['2', '0', '3', '4', '1', '0']; 3; 0; 2; 4; 3
Cbm11; ['x', 'x', '9', '9', '10', '10']; ['0', '0', '1', '1', '2', '2']; 1; 2; 1; 0; 0
Cbm11; ['x', '14', 'x', '14', '15', '12']; ['0', '2', '0', '3', '4', '1']; 2; 0; 3; 3; 2
Cbm13; ['x', '2', 'x', '2', '3', '4']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
Cbm13; ['7', '9', '7', '7', '9', '7']; ['1', '3', '1', '1', '4', '1']; 2; 1; 2; 5; 2
Cbm13; ['7', 'x', '7', '7', '9', '9']; ['2', '0', '3', '3', '4', '4']; 2; 2; 2; 4; 2
Cbm13; ['7', 'x', '7', '7', '9', '9']; ['1', '0', '2', '3', '4', '4']; 3; 1; 2; 3; 2
Cbm13; ['x', '2', '4', '2', '3', '4']; ['0', '1', '3', '1', '2', '4']; 2; 1; 2; 4; 1
Cbm13; ['x', '14', '12', '14', '14', '16']; ['0', '2', '1', '3', '3', '4']; 2; 1; 4; 3; 1
CbmMaj9; ['x', '14', '12', '15', '14', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 3; 2; 3
CbmMaj9; ['7', '9', '8', '7', '7', '9']; ['1', '3', '2', '1', '1', '4']; 2; 1; 2; 5; 1
CbMaj9; ['x', '2', '1', '3', '2', 'x']; ['0', '2', '1', '4', '3', '0']; 2; 0; 2; 2; 3
CbMaj9; ['x', 'x', '9', '8', '11', '9']; ['0', '0', '2', '1', '4', '3']; 2; 0; 3; 1; 2
CbMaj9; ['x', '14', '11', '11', '11', '11']; ['0', '3', '1', '1', '1', '1']; 1; 1; 3; 5; 0
CbMaj9; ['7', '6', '8', '6', '7', '6']; ['2', '1', '4', '1', '3', '1']; 2; 1; 2; 2; 4
CbMaj9; ['7', 'x', '8', '6', '7', 'x']; ['2', '0', '4', '1', '3', '0']; 2; 0; 2; 2; 4
CbMaj13; ['x', '2', 'x', '3', '4', '4']; ['0', '1', '0', '2', '4', '4']; 1; 1; 2; 0; 2
CbMaj13; ['x', '2', 'x', '3', '4', '4']; ['0', '1', '0', '2', '3', '4']; 2; 0; 2; 2; 1
CbMaj13; ['7', '6', '6', '6', '7', '6']; ['2', '1', '1', '1', '3', '1']; 2; 1; 1; 2; 0
CbMaj13; ['7', 'x', '8', '8', '9', '9']; ['1', '0', '2', '3', '4', '4']; 2; 1; 2; 3; 2
Cb+9; ['x', '2', '1', '2', '2', '3']; ['0', '2', '1', '3', '3', '4']; 2; 1; 2; 3; 1
Cb+9; ['7', 'x', '7', '8', '8', '9']; ['1', '0', '2', '3', '3', '4']; 2; 1; 2; 3; 1
CbMaj7#11; ['x', '2', '3', '3', '4', '2']; ['0', '1', '2', '3', '4', '1']; 2; 1; 2; 3; 2
CbMaj7#11; ['7', 'x', '8', '8', '6', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
CbMaj7#11; ['x', 'x', '9', '10', '11', '11']; ['0', '0', '1', '2', '3', '3']; 1; 1; 2; 2; 0
CbMaj7#11; ['x', 'x', '9', '10', '11', '11']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
Cb9b5; ['x', '2', '1', '2', '2', '1']; ['0', '2', '1', '3', '4', '1']; 3; 1; 1; 3; 2
Cb9b5; ['7', '6', '7', '6', '6', 'x']; ['2', '1', '3', '1', '1', '0']; 2; 1; 1; 4; 0
Cb7b9; ['x', '2', '1', '2', '1', 'x']; ['0', '2', '1', '3', '1', '0']; 2; 1; 1; 3; 0
Cb7b9; ['x', '2', '1', '2', '1', 'x']; ['0', '3', '1', '4', '2', '0']; 2; 0; 1; 5; 3
Cb7b9; ['7', '9', '7', '8', '7', '8']; ['1', '4', '1', '2', '1', '3']; 2; 1; 2; 1; 5
Cb7b9; ['x', '2', '1', '2', '1', '2']; ['0', '2', '1', '3', '1', '4']; 3; 1; 1; 3; 1
Cb7b9; ['x', 'x', '9', '8', '10', '8']; ['0', '0', '2', '1', '3', '1']; 1; 1; 2; 2; 0
Cb7#9; ['x', '2', '1', '2', '3', 'x']; ['0', '2', '1', '3', '4', '0']; 2; 0; 2; 3; 2
Cb7#9; ['7', '9', '7', '8', '7', '10']; ['1', '3', '1', '2', '1', '4']; 1; 1; 3; 5; 1
Cb7#9; ['x', 'x', '9', '8', '10', '10']; ['0', '0', '2', '1', '3', '4']; 2; 0; 2; 2; 1
Cb7b5#9; ['x', '2', '1', '2', '3', '1']; ['0', '2', '1', '3', '4', '1']; 2; 1; 2; 3; 2
Cb7#11; ['7', '8', '7', '8', '7', '7']; ['1', '2', '1', '3', '1', '1']; 2; 1; 1; 3; 0
Cb7b5; ['x', '2', '3', '2', '4', 'x']; ['0', '1', '2', '1', '4', '0']; 1; 1; 2; 0; 2
Cb7b5; ['7', 'x', '7', '8', '6', 'x']; ['2', '0', '3', '4', '1', '0']; 2; 0; 2; 4; 3
Cb7b5; ['x', 'x', '9', '10', '10', '11']; ['0', '0', '1', '2', '2', '3']; 1; 1; 2; 1; 0
Cb7b5; ['x', 'x', '9', '10', '10', '11']; ['0', '0', '1', '2', '3', '4']; 2; 0; 2; 2; 1
Cb7b5; ['x', '2', '3', '2', '4', '5']; ['0', '1', '2', '1', '3', '4']; 1; 1; 3; 2; 1
Cbm9b5; ['7', '8', '7', '7', '10', '9']; ['1', '2', '1', '1', '4', '3']; 1; 1; 3; 1; 2
Cb+7b9; ['x', '2', '1', '2', '1', '3']; ['0', '2', '1', '3', '1', '4']; 2; 1; 2; 3; 1
Cb+7b9; ['7', 'x', '7', '8', '8', '8']; ['1', '0', '2', '3', '3', '3']; 2; 1; 1; 3; 0
Cb+7#9; ['x', '2', '1', '2', '3', '3']; ['0', '2', '1', '3', '4', '4']; 2; 1; 2; 3; 2
Cb+7#9; ['7', 'x', '7', '8', '8', '10']; ['1', '0', '2', '3', '3', '4']; 2; 1; 3; 3; 1
Db; ['x', '4', '6', '6', '6', '4']; ['0', '1', '3', '3', '3', '1']; 1; 2; 2; 4; 0
Db; ['x', '4', '6', '6', '6', '4']; ['0', '1', '2', '3', '4', '1']; 3; 1; 2; 3; 2
Db; ['9', '11', '11', '10', '9', '9']; ['1', '3', '4', '2', '1', '1']; 2; 1; 2; 5; 4
Db; ['x', '4', '3', '1', '2', '1']; ['0', None, None, None, None, None]; 1; 0; 3; 0; 0
Db; ['9', '8', '6', '6', '6', '9']; ['3', '2', '1', '1', '1', '4']; 2; 1; 3; 6; 1
Db; ['x', 'x', '11', '13', '14', '13']; ['0', '0', '1', '2', '4', '3']; 2; 0; 3; 1; 2
Dbm; ['x', '4', '6', '6', '5', '4']; ['0', '1', '3', '4', '2', '1']; 2; 1; 2; 4; 3
Dbm; ['9', '11', '11', '9', '9', '9']; ['1', '3', '4', '1', '1', '1']; 2; 1; 2; 5; 4
Dbm; ['x', 'x', '11', '9', '9', '9']; ['0', '0', '3', '1', '1', '1']; 1; 1; 2; 4; 0
Dbm; ['x', 'x', '11', '13', '14', '12']; ['0', '0', '1', '3', '4', '2']; 1; 0; 3; 3; 2
Db5; ['x', '4', '6', '6', 'x', 'x']; ['0', '1', '3', '4', '0', '0']; 2; 0; 2; 4; 3
Db5; ['x', '4', '6', '6', 'x', 'x']; ['0', '1', '2', '3', '0', '0']; 2; 0; 2; 3; 0
Db5; ['x', '4', '6', '6', 'x', 'x']; ['0', '1', '4', '4', '0', '0']; 1; 1; 2; 0; 4
